car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Honda Amaze,Honda,Amaze,2,6399,Trustmark Dealer,Petrol,Manual,19.5,1199,88.76,5,715000
Hyundai i20,Hyundai,i20,5,57000,Individual,Diesel,Manual,22.54,1396,88.73,5,530000
Skoda Rapid,Skoda,Rapid,6,82000,Dealer,Diesel,Manual,21.14,1498,103.52,5,530000
Hyundai Santro,Hyundai,Santro,13,34698,Dealer,Petrol,Manual,17.92,1086,62.1,5,90000
Hyundai Grand,Hyundai,Grand,6,75000,Dealer,Petrol,Automatic,18.9,1197,82.0,5,495000
Hyundai i10,Hyundai,i10,10,39000,Individual,Petrol,Manual,20.36,1197,78.9,5,240000
Mahindra Bolero,Mahindra,Bolero,5,62257,Dealer,Diesel,Manual,21.0,1498,74.96,7,680000
Renault KWID,Renault,KWID,2,6378,Dealer,Petrol,Manual,23.01,999,67.0,5,399000
Volkswagen Polo,Volkswagen,Polo,9,60000,Individual,Diesel,Manual,22.07,1199,73.9,5,300000
Hyundai i10,Hyundai,i10,9,35000,Dealer,Petrol,Automatic,19.2,1197,80.0,5,350000
Mahindra XUV500,Mahindra,XUV500,5,80000,Dealer,Diesel,Automatic,16.0,2179,140.0,7,1050000
Mahindra XUV500,Mahindra,XUV500,6,51000,Dealer,Diesel,Manual,15.1,2179,140.0,7,945000
Volkswagen Polo,Volkswagen,Polo,5,110000,Individual,Diesel,Manual,20.14,1498,88.7,5,550000
Tata Nexon,Tata,Nexon,3,16000,Dealer,Diesel,Manual,21.5,1497,108.5,5,835000
Maruti Ciaz,Maruti,Ciaz,4,40000,Individual,Petrol,Manual,20.73,1373,91.1,5,800000
Skoda Rapid,Skoda,Rapid,3,9570,Dealer,Petrol,Automatic,14.3,1598,103.2,5,1195000
Mahindra XUV500,Mahindra,XUV500,6,37000,Dealer,Diesel,Manual,16.0,2179,140.0,7,1170000
Maruti Alto,Maruti,Alto,19,120000,Individual,Petrol,Manual,18.9,1061,47.0,5,50000
Skoda Superb,Skoda,Superb,10,65000,Dealer,Diesel,Automatic,18.19,1968,174.5,5,480000
Maruti Swift Dzire,Maruti,Swift Dzire,7,70310,Dealer,Diesel,Manual,23.4,1248,74.0,5,575000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,60500,Dealer,Diesel,Automatic,19.27,2143,170.0,5,1175000
Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,375000
Ford Endeavour,Ford,Endeavour,3,48000,Dealer,Diesel,Automatic,10.91,3198,197.0,7,2899000
Hyundai Elantra,Hyundai,Elantra,5,27000,Dealer,Diesel,Automatic,19.5,1582,126.24,5,1395000
Honda Amaze,Honda,Amaze,6,40000,Individual,Petrol,Manual,18.0,1198,86.7,5,450000
Mahindra Alturas,Mahindra,Alturas,2,13033,Dealer,Diesel,Automatic,12.05,2157,178.49,7,2500000
Hyundai Verna,Hyundai,Verna,8,79345,Dealer,Diesel,Manual,22.32,1582,126.32,5,550000
Volkswagen Vento,Volkswagen,Vento,11,59000,Dealer,Petrol,Manual,16.09,1598,103.2,5,249000
Maruti Vitara,Maruti,Vitara,4,35000,Individual,Diesel,Manual,24.3,1248,88.5,5,884000
MG Hector,MG,Hector,2,28000,Dealer,Diesel,Manual,17.41,1956,167.68,5,1650000
Hyundai Creta,Hyundai,Creta,5,98921,Dealer,Diesel,Manual,21.38,1396,88.7,5,850000
Renault KWID,Renault,KWID,6,32000,Dealer,Petrol,Manual,20.71,799,53.26,5,245000
Honda Civic,Honda,Civic,12,62380,Dealer,Petrol,Manual,13.5,1799,130.0,5,245000
Mahindra Bolero,Mahindra,Bolero,9,100000,Individual,Diesel,Manual,15.96,2523,62.1,7,360000
Tata Tiago,Tata,Tiago,2,16000,Individual,Petrol,Manual,23.84,1199,84.0,5,539000
Renault Duster,Renault,Duster,8,90000,Individual,Diesel,Manual,19.01,1461,108.45,5,360000
Mahindra Bolero,Mahindra,Bolero,5,120000,Individual,Diesel,Manual,15.96,2523,62.1,9,600000
Hyundai Verna,Hyundai,Verna,13,110000,Individual,Diesel,Manual,18.1,1493,110.0,5,230000
BMW 5,BMW,5,6,52000,Dealer,Diesel,Automatic,18.12,1995,190.0,5,1850000
Honda CR-V,Honda,CR-V,17,60000,Dealer,Petrol,Automatic,13.1,1997,141.1,5,525000
Maruti Alto,Maruti,Alto,6,50000,Individual,Petrol,Manual,22.74,796,47.3,5,210000
Datsun GO,Datsun,GO,5,20000,Individual,Petrol,Manual,20.62,1198,67.0,7,350000
Maruti Eeco,Maruti,Eeco,5,55000,Individual,CNG,Manual,21.94,1196,61.7,5,270000
Hyundai Creta,Hyundai,Creta,6,66500,Dealer,Diesel,Manual,19.67,1582,126.2,5,750000
Maruti Swift,Maruti,Swift,4,64874,Dealer,Diesel,Manual,25.2,1248,74.0,5,635000
Hyundai Grand,Hyundai,Grand,4,28000,Dealer,Petrol,Manual,18.9,1197,82.0,5,511000
Mahindra Scorpio,Mahindra,Scorpio,4,42000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1025000
Toyota Innova,Toyota,Innova,5,56000,Dealer,Diesel,Manual,13.68,2393,147.8,8,1526000
Maruti Celerio,Maruti,Celerio,3,20000,Individual,Petrol,Manual,21.63,998,67.0,5,585000
Honda City,Honda,City,4,70000,Dealer,Diesel,Manual,25.6,1498,97.9,5,875000
Maruti Swift Dzire,Maruti,Swift Dzire,9,76000,Dealer,Diesel,Manual,19.3,1248,73.9,5,435000
Honda Jazz,Honda,Jazz,4,31000,Dealer,Petrol,Automatic,19.0,1199,88.7,5,745000
Maruti Alto,Maruti,Alto,10,53000,Dealer,Petrol,Manual,23.95,998,67.05,5,235000
Maruti Swift,Maruti,Swift,4,80000,Individual,Diesel,Manual,25.2,1248,74.0,5,630000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,10,67000,Dealer,Petrol,Automatic,11.74,1796,186.0,5,950000
BMW 5,BMW,5,9,32000,Individual,Diesel,Automatic,18.48,1995,177.0,5,1600000
Maruti Swift,Maruti,Swift,13,96000,Dealer,Diesel,Manual,17.8,1248,75.0,5,295000
Honda City,Honda,City,8,57000,Dealer,Petrol,Manual,17.0,1497,118.0,5,590000
Hyundai Verna,Hyundai,Verna,5,53075,Dealer,Petrol,Automatic,17.1,1591,121.4,5,675000
Datsun RediGO,Datsun,RediGO,3,15000,Individual,Petrol,Manual,22.7,799,53.64,5,340000
Honda City,Honda,City,4,70000,Dealer,Diesel,Manual,26.0,1498,98.6,5,825000
Honda City,Honda,City,4,25000,Individual,Petrol,Automatic,18.0,1497,117.6,5,1050000
Hyundai i20,Hyundai,i20,7,44000,Individual,Petrol,Manual,18.5,1197,82.85,5,550000
Honda City,Honda,City,10,130000,Dealer,Petrol,Manual,17.0,1497,118.0,5,350000
BMW 5,BMW,5,4,12500,Dealer,Diesel,Automatic,22.48,1995,187.74,5,4175000
Mahindra Scorpio,Mahindra,Scorpio,4,50000,Individual,Diesel,Manual,15.4,1997,120.0,7,1150000
Maruti Swift,Maruti,Swift,2,8000,Individual,Petrol,Manual,21.21,1197,81.8,5,539000
Maruti Swift Dzire,Maruti,Swift Dzire,7,46001,Dealer,Diesel,Manual,19.3,1248,73.9,5,465000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,4,58000,Dealer,Diesel,Automatic,19.71,2143,201.15,5,2800000
Maruti Swift Dzire,Maruti,Swift Dzire,8,75823,Dealer,Petrol,Manual,19.1,1197,85.8,5,425000
Maruti Ertiga,Maruti,Ertiga,8,138000,Dealer,Diesel,Manual,25.47,1248,88.5,7,690000
Honda City,Honda,City,3,28000,Dealer,Diesel,Manual,26.0,1498,98.6,5,899000
Mahindra XUV300,Mahindra,XUV300,2,25000,Individual,Diesel,Manual,20.0,1497,115.0,5,1079000
Ford Figo,Ford,Figo,4,40000,Individual,Diesel,Manual,24.29,1498,99.0,5,580000
Toyota Innova,Toyota,Innova,8,147000,Dealer,Diesel,Manual,12.99,2494,100.0,8,925000
Mahindra Scorpio,Mahindra,Scorpio,4,56000,Individual,Diesel,Manual,15.4,2179,120.0,7,1200000
Maruti Swift,Maruti,Swift,9,66100,Dealer,Diesel,Manual,22.9,1248,74.0,5,275000
Maruti Swift Dzire,Maruti,Swift Dzire,2,27000,Dealer,Petrol,Manual,19.95,1197,81.8,5,570000
Renault Duster,Renault,Duster,5,73000,Dealer,Diesel,Automatic,19.6,1461,108.45,5,895000
Mahindra XUV500,Mahindra,XUV500,7,120000,Individual,Diesel,Manual,15.1,2179,140.0,7,600000
Maruti Swift Dzire,Maruti,Swift Dzire,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,760000
Honda City,Honda,City,10,60000,Dealer,Petrol,Manual,17.0,1497,118.0,5,350000
Ford Ecosport,Ford,Ecosport,4,47665,Dealer,Diesel,Manual,22.77,1498,98.59,5,865000
Honda City,Honda,City,4,25000,Dealer,Petrol,Automatic,18.0,1497,117.6,5,985000
Honda Amaze,Honda,Amaze,3,17362,Dealer,Petrol,Manual,18.6,1199,88.76,5,825000
Maruti Wagon R,Maruti,Wagon R,6,42100,Dealer,CNG,Manual,26.6,998,58.16,5,375000
Renault Duster,Renault,Duster,4,85000,Dealer,Diesel,Automatic,19.87,1461,108.5,5,690000
Datsun GO,Datsun,GO,4,24000,Individual,Petrol,Manual,19.44,1198,67.0,7,425000
Honda City,Honda,City,4,72000,Dealer,Diesel,Manual,25.1,1498,98.6,5,850000
Renault KWID,Renault,KWID,5,25000,Individual,Petrol,Manual,23.01,999,67.0,5,250000
Hyundai Verna,Hyundai,Verna,3,15000,Dealer,Diesel,Automatic,19.08,1582,126.2,5,1225000
Ford Aspire,Ford,Aspire,5,35000,Individual,Petrol,Manual,18.16,1196,86.8,5,369000
Hyundai Creta,Hyundai,Creta,3,49000,Dealer,Diesel,Manual,20.5,1582,126.2,5,1390000
BMW 5,BMW,5,11,48000,Dealer,Diesel,Automatic,16.73,2495,218.0,5,1290000
Renault KWID,Renault,KWID,2,5000,Individual,Petrol,Manual,25.17,799,53.3,5,375000
Hyundai i20,Hyundai,i20,7,44000,Individual,Diesel,Manual,22.54,1396,88.73,5,460000
Hyundai i20,Hyundai,i20,9,100000,Individual,Diesel,Manual,23.0,1396,90.0,5,300000
Maruti Swift Dzire,Maruti,Swift Dzire,6,120000,Individual,Diesel,Manual,26.59,1248,74.0,5,450000
Hyundai Santro,Hyundai,Santro,9,40000,Dealer,Petrol,Manual,17.92,1086,62.1,5,250000
Maruti Wagon R,Maruti,Wagon R,3,47000,Individual,Petrol,Automatic,20.51,998,67.0,5,415000
Honda Amaze,Honda,Amaze,7,49000,Dealer,Petrol,Manual,18.0,1198,86.7,5,495000
Maruti Alto,Maruti,Alto,2,10300,Individual,Petrol,Manual,24.7,796,47.3,5,300000
Hyundai i20,Hyundai,i20,6,84475,Dealer,Diesel,Manual,22.54,1396,88.73,5,481000
Honda Amaze,Honda,Amaze,3,38000,Dealer,Petrol,Manual,17.8,1198,86.7,5,600000
Audi A6,Audi,A6,8,74000,Dealer,Diesel,Automatic,17.68,1968,174.33,5,1600000
Honda City,Honda,City,7,171000,Individual,Diesel,Manual,25.1,1498,98.6,5,530000
Hyundai Creta,Hyundai,Creta,6,72248,Dealer,Diesel,Manual,19.67,1582,126.2,5,1000000
Maruti Alto,Maruti,Alto,6,15200,Dealer,Petrol,Manual,22.74,796,47.3,5,260000
Hyundai Verna,Hyundai,Verna,2,8836,Individual,Petrol,Manual,17.0,1591,121.3,5,1171000
Ford Figo,Ford,Figo,5,68000,Dealer,Petrol,Manual,18.16,1196,86.8,5,525000
Maruti Swift,Maruti,Swift,13,96000,Dealer,Diesel,Manual,17.8,1248,75.0,5,290000
BMW 7,BMW,7,8,89000,Dealer,Diesel,Automatic,14.49,2993,258.0,5,1999000
BMW X3,BMW,X3,5,66000,Dealer,Diesel,Automatic,18.56,1995,187.7,5,2750000
Maruti Ignis,Maruti,Ignis,4,30000,Individual,Petrol,Manual,20.89,1197,81.8,5,415000
Renault Duster,Renault,Duster,6,90431,Dealer,Diesel,Manual,20.45,1461,83.8,5,500000
Volkswagen Vento,Volkswagen,Vento,11,88254,Dealer,Petrol,Manual,15.04,1598,103.6,5,310000
Ford Aspire,Ford,Aspire,6,42000,Dealer,Diesel,Manual,25.83,1498,99.0,5,475000
Hyundai Creta,Hyundai,Creta,4,80000,Individual,Diesel,Manual,19.67,1582,126.2,5,1150000
Maruti Celerio,Maruti,Celerio,7,35000,Individual,Petrol,Manual,23.1,998,67.04,5,320000
Maruti Wagon R,Maruti,Wagon R,6,27000,Dealer,Petrol,Automatic,21.5,1197,81.8,5,395000
Maruti Alto,Maruti,Alto,8,15000,Individual,Petrol,Manual,22.74,796,47.3,5,189000
Datsun GO,Datsun,GO,7,34540,Dealer,Petrol,Manual,19.02,1198,67.05,5,315000
Maruti Swift,Maruti,Swift,13,73000,Dealer,Diesel,Manual,17.8,1248,75.0,5,250000
Maruti Vitara,Maruti,Vitara,3,20000,Individual,Diesel,Manual,24.3,1248,88.5,5,950000
Mahindra Scorpio,Mahindra,Scorpio,5,63452,Dealer,Diesel,Manual,15.4,2179,120.0,7,1070000
Mahindra Bolero,Mahindra,Bolero,1,12000,Individual,Diesel,Manual,21.0,1498,74.96,7,800000
Honda City,Honda,City,6,65122,Dealer,Diesel,Manual,26.0,1498,98.6,5,650000
Kia Seltos,Kia,Seltos,2,1200,Dealer,Diesel,Manual,20.8,1493,113.4,5,1675000
Maruti Ciaz,Maruti,Ciaz,4,67238,Dealer,Diesel,Manual,28.09,1248,88.5,5,675000
Maruti Swift,Maruti,Swift,5,47350,Individual,Diesel,Manual,25.2,1248,74.0,5,640000
Tata Tigor,Tata,Tigor,3,17206,Dealer,Petrol,Automatic,20.3,1199,84.0,5,565000
Hyundai i10,Hyundai,i10,9,38452,Dealer,Petrol,Manual,20.36,1197,78.9,5,219000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,8,70000,Dealer,Diesel,Automatic,10.0,2148,170.0,5,1025000
Volkswagen Polo,Volkswagen,Polo,5,40000,Individual,Petrol,Automatic,17.21,1197,103.5,5,740000
Hyundai i20,Hyundai,i20,4,70000,Individual,Diesel,Manual,21.19,1396,88.73,5,850000
Maruti Baleno,Maruti,Baleno,3,43875,Dealer,Petrol,Automatic,21.4,1197,83.1,5,580000
Hyundai Venue,Hyundai,Venue,2,19500,Dealer,Petrol,Automatic,18.15,998,118.35,5,1100000
Maruti Vitara,Maruti,Vitara,4,50000,Individual,Diesel,Manual,24.3,1248,88.5,5,700000
Maruti Swift,Maruti,Swift,3,50000,Individual,Diesel,Manual,28.4,1248,74.0,5,700000
Tata Harrier,Tata,Harrier,2,18000,Dealer,Diesel,Manual,17.0,1956,138.1,5,1595000
Toyota Innova,Toyota,Innova,3,11000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,2275000
Maruti Dzire ZXI,Maruti,Dzire ZXI,4,18767,Dealer,Petrol,Manual,23.26,1197,88.5,5,760000
Hyundai i20,Hyundai,i20,3,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,920000
Mahindra Bolero,Mahindra,Bolero,1,30000,Individual,Diesel,Manual,16.5,1493,70.0,7,790000
Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,Individual,Diesel,Manual,28.4,1248,74.02,5,700000
Ford Endeavour,Ford,Endeavour,3,17000,Dealer,Diesel,Automatic,12.62,2198,158.0,7,2675000
Hyundai i20,Hyundai,i20,3,27000,Dealer,Petrol,Manual,18.6,1197,81.83,5,615000
Maruti Ciaz,Maruti,Ciaz,7,47000,Dealer,Diesel,Manual,26.21,1248,88.5,5,495000
Maruti Alto,Maruti,Alto,2,20000,Individual,Petrol,Manual,23.95,998,67.05,5,330000
Toyota Innova,Toyota,Innova,4,40004,Dealer,Diesel,Manual,13.68,2393,147.8,8,1775000
Maruti Vitara,Maruti,Vitara,4,40000,Dealer,Diesel,Manual,24.3,1248,88.5,5,825000
Audi A4,Audi,A4,6,62000,Dealer,Diesel,Automatic,17.11,1968,174.33,5,1549000
Toyota Fortuner,Toyota,Fortuner,3,60000,Individual,Diesel,Manual,14.24,2755,174.5,7,2700000
Maruti Swift Dzire,Maruti,Swift Dzire,6,120000,Individual,Diesel,Manual,26.59,1248,74.0,5,500000
Maruti Alto,Maruti,Alto,12,80000,Individual,Petrol,Manual,19.7,796,46.3,5,250000
Mercedes-Benz S-Class,Mercedes-Benz,S-Class,9,50000,Individual,Diesel,Automatic,13.5,2987,282.0,5,3000000
Maruti Ertiga,Maruti,Ertiga,9,90000,Individual,Diesel,Manual,20.77,1248,88.76,7,350000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,9,33999,Dealer,Petrol,Manual,12.3,1796,185.0,5,1350000
Maruti Swift Dzire,Maruti,Swift Dzire,6,68000,Dealer,Diesel,Manual,19.3,1248,73.9,5,676000
Hyundai Grand,Hyundai,Grand,7,17000,Dealer,Petrol,Manual,18.9,1197,81.86,5,435000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,6,37000,Dealer,Diesel,Automatic,14.84,2143,170.0,5,2399000
Hyundai Grand,Hyundai,Grand,3,10000,Individual,Petrol,Manual,18.9,1197,81.86,5,451000
Maruti Wagon R,Maruti,Wagon R,5,120000,Individual,Petrol,Manual,20.51,998,67.04,5,300000
Ford Figo,Ford,Figo,10,90000,Individual,Diesel,Manual,20.0,1399,68.0,5,200000
Maruti Swift Dzire,Maruti,Swift Dzire,9,60000,Dealer,Diesel,Manual,19.3,1248,73.9,5,370000
Maruti Ciaz,Maruti,Ciaz,3,28500,Dealer,Diesel,Manual,28.09,1248,88.5,5,925000
Mahindra XUV500,Mahindra,XUV500,6,63516,Dealer,Diesel,Manual,15.1,2179,140.0,7,850000
Honda WR-V,Honda,WR-V,3,22000,Dealer,Petrol,Manual,17.5,1199,88.7,5,750000
Ford Ecosport,Ford,Ecosport,4,25000,Dealer,Diesel,Manual,23.0,1498,98.96,5,800000
Skoda Octavia,Skoda,Octavia,11,300000,Individual,Diesel,Manual,18.7,1896,66.0,5,400000
Hyundai Grand,Hyundai,Grand,4,40813,Dealer,Petrol,Manual,18.9,1197,81.86,5,450000
Honda WR-V,Honda,WR-V,3,25000,Dealer,Diesel,Manual,25.5,1498,98.6,5,600000
Maruti Vitara,Maruti,Vitara,3,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,920000
Volkswagen Polo,Volkswagen,Polo,5,70000,Dealer,Diesel,Manual,22.07,1199,73.9,5,675000
Skoda Rapid,Skoda,Rapid,7,50900,Dealer,Petrol,Manual,15.0,1598,103.5,5,400000
Maruti Swift,Maruti,Swift,5,45000,Dealer,Petrol,Manual,20.4,1197,81.8,5,435000
Hyundai Santro,Hyundai,Santro,12,63000,Dealer,Petrol,Manual,17.92,1086,62.1,5,125000
Mahindra XUV500,Mahindra,XUV500,7,30000,Individual,Diesel,Manual,15.1,2179,140.0,7,950000
Hyundai i20,Hyundai,i20,11,78000,Dealer,Petrol,Manual,17.0,1197,80.0,5,371000
Maruti Swift,Maruti,Swift,6,90000,Individual,Diesel,Manual,25.2,1248,74.0,5,500000
Hyundai Verna,Hyundai,Verna,11,140000,Individual,Diesel,Manual,16.2,1493,110.0,5,350000
Tata Safari,Tata,Safari,8,158000,Dealer,Diesel,Manual,14.0,2179,138.1,7,470000
Renault Duster,Renault,Duster,6,38000,Dealer,Diesel,Manual,19.87,1461,83.8,5,685000
Hyundai i20,Hyundai,i20,3,9300,Dealer,Petrol,Manual,18.6,1197,81.83,5,675000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,14,85250,Dealer,Petrol,Automatic,10.5,1796,157.7,5,499000
Ford Ecosport,Ford,Ecosport,6,110000,Individual,Diesel,Manual,22.77,1498,98.59,5,600000
Hyundai Santro,Hyundai,Santro,2,7395,Dealer,Petrol,Manual,20.3,1086,68.0,5,480000
Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,24.7,796,47.3,5,322000
Hyundai Creta,Hyundai,Creta,5,120000,Individual,Diesel,Manual,19.67,1582,126.2,5,960000
Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.1,5,350000
Ford Endeavour,Ford,Endeavour,3,11387,Individual,Diesel,Automatic,10.91,3198,197.0,7,2900000
Honda Civic,Honda,Civic,10,60000,Individual,Petrol,Automatic,13.9,1799,130.3,5,380000
Maruti Swift,Maruti,Swift,5,29123,Dealer,Diesel,Manual,25.2,1248,74.0,5,570000
Toyota Innova,Toyota,Innova,4,85000,Dealer,Diesel,Manual,13.68,2393,147.8,8,1650000
Skoda Rapid,Skoda,Rapid,7,57118,Dealer,Diesel,Automatic,21.66,1498,103.52,5,560000
Hyundai Verna,Hyundai,Verna,8,136700,Dealer,Diesel,Automatic,22.32,1582,126.32,5,350000
Hyundai i20,Hyundai,i20,5,60000,Individual,Diesel,Manual,22.54,1396,88.73,5,630000
BMW X1,BMW,X1,9,70000,Dealer,Diesel,Automatic,17.05,1995,184.0,5,1350000
Maruti Ciaz,Maruti,Ciaz,5,99000,Individual,Diesel,Manual,28.09,1248,88.5,5,651000
Tata Harrier,Tata,Harrier,2,17000,Dealer,Diesel,Manual,17.0,1956,138.1,5,1650000
Maruti Ciaz,Maruti,Ciaz,5,69000,Dealer,Diesel,Manual,28.09,1248,88.5,5,650000
Maruti Alto,Maruti,Alto,5,60000,Individual,Petrol,Manual,23.95,998,67.05,5,280000
Maruti Baleno,Maruti,Baleno,4,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,548000
Maruti Swift,Maruti,Swift,8,79000,Dealer,Diesel,Manual,22.9,1248,74.0,5,325000
BMW 5,BMW,5,7,41265,Dealer,Diesel,Automatic,18.12,1995,190.0,5,2799000
Maruti Ertiga,Maruti,Ertiga,4,40000,Individual,Diesel,Manual,24.52,1248,88.5,7,865000
Hyundai Grand,Hyundai,Grand,1,15000,Individual,Petrol,Manual,18.9,1197,81.86,5,511000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,65000,Dealer,Petrol,Automatic,11.7,1796,178.0,5,1225000
Renault Duster,Renault,Duster,5,60000,Individual,Diesel,Manual,19.87,1461,83.8,5,900000
Maruti Swift Dzire,Maruti,Swift Dzire,8,40000,Individual,Petrol,Manual,19.1,1197,85.8,5,400000
Maruti Ertiga,Maruti,Ertiga,4,51000,Dealer,Diesel,Manual,25.47,1248,88.5,7,835000
Hyundai Creta,Hyundai,Creta,5,36000,Dealer,Petrol,Manual,13.0,1591,121.3,5,890000
Hyundai Creta,Hyundai,Creta,3,50000,Individual,Diesel,Manual,19.67,1582,126.2,5,1200000
Hyundai Creta,Hyundai,Creta,5,62000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1275000
Hyundai Creta,Hyundai,Creta,5,24000,Dealer,Petrol,Manual,15.29,1591,121.3,5,750000
Volkswagen Polo,Volkswagen,Polo,8,83500,Dealer,Diesel,Manual,15.11,1598,103.6,5,465000
Honda City,Honda,City,5,34000,Dealer,Diesel,Manual,25.1,1498,98.6,5,629000
Maruti Ignis,Maruti,Ignis,4,15000,Dealer,Petrol,Manual,20.89,1197,81.8,5,575000
Hyundai Grand,Hyundai,Grand,7,40000,Dealer,Petrol,Manual,18.9,1197,82.0,5,495000
Mahindra Bolero,Mahindra,Bolero,3,32525,Dealer,Diesel,Manual,16.5,1493,70.0,7,765000
Maruti Alto,Maruti,Alto,10,7000,Individual,Petrol,Manual,19.7,796,46.3,5,150000
Hyundai i20,Hyundai,i20,5,17749,Dealer,Petrol,Manual,18.6,1197,81.83,5,549000
Mahindra Thar,Mahindra,Thar,2,23000,Individual,Diesel,Manual,16.55,2498,105.0,6,1000000
Maruti Swift,Maruti,Swift,10,35000,Individual,Petrol,Manual,18.6,1197,85.8,5,270000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,10,64332,Dealer,Diesel,Automatic,14.21,2143,203.0,5,1050000
Volkswagen Polo,Volkswagen,Polo,4,47000,Dealer,Petrol,Automatic,17.21,1197,103.5,5,700000
Honda Amaze,Honda,Amaze,2,15787,Dealer,Petrol,Manual,18.0,1198,86.7,5,650000
Maruti Celerio,Maruti,Celerio,2,52000,Individual,Petrol,Manual,23.1,998,67.04,5,400000
Maruti Swift,Maruti,Swift,3,28000,Dealer,Diesel,Manual,28.4,1248,74.0,5,800000
Toyota Innova,Toyota,Innova,9,39000,Dealer,Diesel,Manual,12.99,2494,100.0,7,650000
Hyundai Grand,Hyundai,Grand,7,59571,Dealer,Petrol,Manual,18.9,1197,81.86,5,485000
Honda Amaze,Honda,Amaze,2,23950,Individual,Diesel,Automatic,23.8,1498,78.9,5,780000
Ford Figo,Ford,Figo,5,35000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000
Hyundai Santro,Hyundai,Santro,14,56000,Dealer,Petrol,Manual,17.8,1086,63.0,5,125000
Hyundai Verna,Hyundai,Verna,4,45910,Dealer,Diesel,Manual,23.9,1582,126.2,5,925000
Maruti Wagon R,Maruti,Wagon R,13,120000,Individual,LPG,Manual,17.3,1061,57.5,5,140000
Skoda Rapid,Skoda,Rapid,7,60000,Dealer,Petrol,Automatic,14.3,1598,103.6,5,490000
Maruti Swift,Maruti,Swift,3,13300,Individual,Petrol,Manual,22.0,1197,81.8,5,650000
Volkswagen Vento,Volkswagen,Vento,7,42000,Dealer,Petrol,Automatic,16.93,1197,103.6,5,575000
Hyundai Santro,Hyundai,Santro,13,54000,Dealer,Petrol,Manual,17.92,1086,62.1,5,235000
Maruti Ciaz,Maruti,Ciaz,6,65000,Individual,Diesel,Manual,28.09,1248,88.5,5,475000
Hyundai Grand,Hyundai,Grand,7,12000,Dealer,Petrol,Manual,18.9,1197,82.0,5,465000
Hyundai Verna,Hyundai,Verna,3,21734,Trustmark Dealer,Petrol,Manual,17.0,1591,121.3,5,925000
Honda Civic,Honda,Civic,9,70000,Individual,Petrol,Manual,14.8,1799,130.2,5,500000
Maruti Swift,Maruti,Swift,8,147000,Individual,Diesel,Manual,22.9,1248,74.0,5,350000
Mahindra Bolero,Mahindra,Bolero,6,93648,Individual,Diesel,Manual,15.96,2523,62.1,7,450000
Maruti Swift Dzire,Maruti,Swift Dzire,6,70000,Individual,Diesel,Manual,26.59,1248,74.0,5,580000
Mercedes-Benz S-Class,Mercedes-Benz,S-Class,7,35000,Dealer,Petrol,Automatic,13.0,2987,210.0,5,2575000
Maruti Dzire VXI,Maruti,Dzire VXI,10,48000,Dealer,Petrol,Manual,23.26,1197,88.5,5,266000
Honda City,Honda,City,13,165000,Individual,Petrol,Manual,16.8,1497,116.4,5,300000
Maruti Ertiga,Maruti,Ertiga,2,25000,Dealer,Diesel,Manual,25.47,1248,88.5,7,1075000
Maruti Swift Dzire,Maruti,Swift Dzire,3,60000,Individual,Diesel,Manual,28.4,1248,74.02,5,610000
Maruti Baleno,Maruti,Baleno,5,31000,Dealer,Petrol,Automatic,21.4,1197,83.1,5,650000
Maruti Ciaz,Maruti,Ciaz,3,20000,Individual,Diesel,Manual,28.09,1248,88.5,5,850000
Toyota Innova,Toyota,Innova,6,70000,Dealer,Diesel,Manual,12.8,2494,102.0,7,885000
Hyundai i10,Hyundai,i10,11,30000,Individual,Petrol,Manual,20.36,1197,78.9,5,300000
Maruti Alto,Maruti,Alto,12,86240,Dealer,Petrol,Manual,19.7,796,46.3,5,210000
Tata Tigor,Tata,Tigor,3,40000,Individual,Diesel,Manual,24.7,1047,69.0,5,650000
Hyundai i20,Hyundai,i20,6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000
Land Rover Rover,Land Rover,Rover,10,78000,Dealer,Diesel,Automatic,11.49,4367,335.3,5,3400000
